,경기,년도,순위,선수명,팀,PTS,FG,FGA,FG%,FT,FTA,FT%,PP,PPA,PP%,REB_OFF,REB_DEF,REB_TOT,AST,TO,STL,BS,DF
0,정규경기,2021-2022,1,앤드류 니콜슨,대구 한국가스공사,24.3,9.3,12.9,56.1,3.6,4.4,81.1,6.1,9.5,64.0,1.3,7.4,8.8,1.0,1.7,0.6,0.4,1.7
1,정규경기,2021-2022,2,자밀 워니,서울 SK,22.2,9.5,15.7,59.0,2.9,4.0,72.9,8.6,13.9,61.7,4.3,7.8,12.1,2.7,1.4,1.2,0.5,2.0
2,정규경기,2021-2022,3,오마리 스펠맨,안양 KGC,19.8,7.5,9.6,49.1,2.2,4.0,54.5,3.8,6.7,56.8,1.8,8.2,10.0,2.7,2.5,0.9,1.8,1.6
3,정규경기,2021-2022,4,아이제아 힉스,서울 삼성,19.5,7.6,12.2,59.1,3.8,5.1,75.8,6.2,9.9,62.0,2.4,5.5,7.8,0.9,2.8,1.0,1.2,3.3
4,정규경기,2021-2022,5,아셈 마레이,창원 LG,19.0,7.6,14.2,53.5,3.8,6.5,59.0,6.8,11.8,57.0,6.2,6.8,13.0,2.7,1.6,2.0,0.9,2.8
5,정규경기,2021-2022,6,라건아,전주 KCC,17.7,7.1,10.2,60.7,2.6,3.8,68.9,4.8,7.9,60.0,3.9,7.5,11.4,2.3,1.3,0.6,0.8,2.2
6,정규경기,2021-2022,7,캐디 라렌,수원 KT,17.3,7.2,11.1,54.2,1.6,2.5,63.6,5.1,8.7,58.4,3.5,7.1,10.5,0.8,2.1,0.8,1.0,2.8
7,정규경기,2021-2022,8,이정현,전주 KCC,16.5,5.7,6.3,56.6,3.1,3.9,78.7,2.8,4.8,56.9,0.5,2.3,2.8,3.3,2.7,0.8,0.2,2.4
8,정규경기,2021-2022,9,최준용,서울 SK,16.2,5.7,7.3,52.3,3.0,4.3,69.2,3.0,5.2,58.1,0.9,4.4,5.3,2.3,1.9,0.8,1.2,1.9
9,정규경기,2021-2022,10,이관희,창원 LG,15.5,5.2,7.8,41.9,3.3,3.7,88.6,1.8,3.7,47.7,0.6,2.5,3.1,2.9,1.4,1.5,0.2,2.3
10,정규경기,2021-2022,11,전성현,안양 KGC,15.1,5.0,6.3,46.1,3.0,3.3,90.0,1.8,3.7,50.0,0.8,1.7,2.4,1.8,1.2,1.0,0.3,1.4
11,정규경기,2021-2022,12,오세근,안양 KGC,14.9,6.2,10.7,56.3,2.4,3.3,72.5,4.7,7.6,61.5,2.0,3.4,5.4,1.6,1.2,0.8,0.3,2.8
12,정규경기,2021-2022,13,이재도,창원 LG,14.9,5.3,5.8,54.3,2.3,2.6,90.3,1.8,3.3,56.4,1.3,2.6,3.9,5.1,1.9,1.6,0.0,1.2
