,Unnamed: 0,경기,년도,순위,선수명,팀,PTS,FG,FGA,FG%,FT,FTA,FT%,PP,PPA,PP%,REB_OFF,REB_DEF,REB_TOT,AST,TO,STL,BS,DF
0,1339,정규경기,2014-2015,36,CJ 레슬리,안양 KGC,8.9,3.5,7.0,46.8,1.7,2.3,71.4,2.5,5.1,48.9,1.8,3.6,5.3,0.7,1.3,0.7,0.5,2.5
1,3746,정규경기,1999-2000,14,G.J 헌터,수원삼성,21.1,7.8,12.2,49.2,3.8,4.6,82.5,0.0,0.0,0.0,1.0,4.9,6.0,2.8,2.6,2.5,0.4,2.3
2,6041,플레이오프,1999-2000,8,G.J 헌터,수원삼성,18.9,6.7,12.4,44.8,4.3,5.4,78.9,0.0,0.0,0.0,1.1,5.4,6.6,2.6,2.0,1.9,0.4,1.7
3,3134,정규경기,2003-2004,6,R.F. 바셋,전주KCC,21.4,8.8,15.1,56.4,3.4,4.6,73.8,0.0,0.0,0.0,2.4,7.4,9.8,1.6,3.0,0.9,2.3,3.2
4,5748,플레이오프,2003-2004,19,R.F. 바셋,전주KCC,14.0,6.3,10.7,59.4,1.3,2.0,66.7,0.0,0.0,0.0,1.3,5.7,7.0,2.0,5.0,2.3,2.3,3.7
5,3018,정규경기,2004-2005,51,R.F. 바셋,전주KCC,10.3,4.0,6.7,55.0,2.0,3.3,60.0,0.0,0.0,0.0,1.7,5.0,6.7,0.7,2.7,1.3,1.0,3.0
6,2495,정규경기,2007-2008,6,TJ 커밍스,안양KT&G,19.4,8.1,14.2,56.9,3.0,3.8,79.1,5.9,9.2,63.9,2.3,3.9,6.2,0.5,1.9,0.7,1.1,2.6
7,5439,플레이오프,2007-2008,12,TJ 커밍스,안양KT&G,16.3,7.3,14.3,51.2,1.7,2.2,76.9,4.8,9.0,53.7,3.2,3.8,7.0,0.0,1.3,0.7,0.7,2.0
8,2335,정규경기,2008-2009,16,가넷 톰슨,대구오리온스,17.1,7.0,11.9,54.7,2.6,4.9,52.3,6.2,11.0,56.6,2.9,5.3,8.2,2.1,3.2,0.8,1.2,3.6
9,2982,정규경기,2004-2005,15,가이 루커,인천전자랜드,21.2,8.7,14.1,61.6,3.8,4.5,85.3,0.0,0.0,0.0,2.5,9.8,12.3,2.1,3.4,0.8,1.9,2.0
10,2832,정규경기,2005-2006,26,가이 루커,안양KT&G,17.0,7.3,13.4,54.5,2.4,2.7,88.9,0.0,0.0,0.0,2.0,6.0,8.0,1.0,2.6,0.5,2.3,2.2
11,5239,플레이오프,2010KBLWINTER,9,강권희,KT,10.0,4.0,5.0,60.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.5,2.5,0.5,0.5,0.5,0.5,3.5
12,7294,D리그 1차,2010KBLWINTER,49,강권희,KT,10.4,3.8,4.5,58.3,1.8,2.6,66.7,0.0,0.0,0.0,0.1,1.8,1.9,0.8,1.4,0.9,0.1,2.4
13,7227,D리그 1차,2011KBLWINTER,57,강권희,KT,6.1,2.2,2.3,41.9,0.6,0.8,68.8,0.0,0.0,0.0,0.5,1.7,2.2,0.7,0.9,0.4,0.3,1.9
14,7145,D리그 1차,2012KBLWINTER,36,강권희,KT,8.5,3.1,3.6,48.3,1.1,1.6,65.4,0.0,0.0,0.0,0.8,2.4,3.1,1.1,1.2,1.0,0.0,1.9
15,3994,정규경기,1998-1999,113,강기중,인천대우,1.2,0.3,0.6,22.2,0.3,0.5,71.4,0.0,0.0,0.0,0.3,0.7,1.0,1.3,0.6,0.3,0.0,1.3
16,6160,플레이오프,1998-1999,49,강기중,인천대우,0.7,0.0,0.0,0.0,0.7,0.7,100.0,0.0,0.0,0.0,0.3,0.0,0.3,1.0,0.3,0.0,0.0,0.0
17,3804,정규경기,1999-2000,72,강기중,인천신세기,3.7,1.3,1.4,54.5,0.5,0.9,55.9,0.0,0.0,0.0,0.2,1.0,1.1,2.8,1.5,0.8,0.0,2.5
18,3723,정규경기,2000-2001,140,강기중,인천신세기,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,0.5,0.0,1.5
19,3542,정규경기,2001-2002,111,강기중,인천SK,1.4,0.4,0.7,38.9,0.4,0.7,61.1,0.0,0.0,0.0,0.2,0.7,0.8,1.6,0.4,0.2,0.0,1.2
20,3673,정규경기,2000-2001,90,강대협,대전현대,2.3,0.8,1.1,44.4,0.5,0.7,68.2,0.0,0.0,0.0,0.2,0.6,0.8,0.7,0.3,0.2,0.1,1.1
21,3543,정규경기,2001-2002,112,강대협,창원LG,1.4,0.5,0.8,40.9,0.1,0.1,100.0,0.0,0.0,0.0,0.2,0.4,0.6,0.6,0.4,0.4,0.0,1.0
22,5913,플레이오프,2001-2002,35,강대협,창원LG,4.5,2.0,2.5,80.0,0.5,0.8,66.7,0.0,0.0,0.0,0.5,0.0,0.5,0.3,0.0,0.8,0.0,1.5
23,3337,정규경기,2002-2003,56,강대협,안양SBS,7.3,2.7,3.0,54.7,1.0,1.3,77.1,0.0,0.0,0.0,0.5,1.6,2.1,3.0,1.3,1.1,0.2,3.3
24,4201,정규경기,1997,25,강동희,부산기아,15.6,5.9,6.0,60.8,1.6,2.2,72.3,0.0,0.0,0.0,0.6,2.4,3.0,7.3,2.4,3.1,0.1,2.0
25,6281,플레이오프,1997,21,강동희,부산기아,14.7,5.3,6.0,63.9,2.5,3.7,68.2,0.0,0.0,0.0,0.5,2.7,3.2,4.0,1.8,2.0,0.3,1.2
26,4060,정규경기,1997-1998,34,강동희,부산기아,13.7,4.7,5.5,51.0,2.5,3.2,77.6,0.0,0.0,0.0,0.9,3.8,4.7,6.8,3.4,2.5,0.1,1.5
27,6204,플레이오프,1997-1998,19,강동희,부산기아,14.4,5.0,5.4,58.1,2.5,3.1,80.0,0.0,0.0,0.0,0.8,1.6,2.4,3.6,3.6,1.6,0.4,1.6
28,3908,정규경기,1998-1999,27,강동희,부산기아,15.9,5.4,5.5,56.9,2.9,3.6,82.6,0.0,0.0,0.0,1.2,2.5,3.7,7.4,3.4,2.0,0.1,1.4
29,6121,플레이오프,1998-1999,10,강동희,부산기아,18.3,6.0,6.5,53.8,3.8,4.8,78.9,0.0,0.0,0.0,1.5,1.5,3.0,6.0,4.3,1.8,0.0,2.0
30,3772,정규경기,1999-2000,40,강동희,부산기아,12.0,4.1,4.6,50.0,1.9,2.4,78.0,0.0,0.0,0.0,0.7,2.5,3.3,7.7,2.8,2.2,0.2,1.7
31,6050,플레이오프,1999-2000,17,강동희,부산기아,14.8,5.5,4.5,61.1,1.0,1.3,80.0,0.0,0.0,0.0,0.3,1.3,1.5,3.8,3.5,1.5,0.0,1.8
32,3630,정규경기,2000-2001,47,강동희,부산기아,11.7,4.3,4.7,53.1,1.3,1.8,70.4,0.0,0.0,0.0,0.8,2.4,3.3,8.5,2.7,1.6,0.2,1.2
33,7606,D리그 2차,2018 KBL D리그,37,강바일,삼성,8.0,3.3,5.3,42.9,0.5,0.5,100.0,1.5,2.0,75.0,0.3,2.0,2.3,1.8,1.5,1.0,0.0,3.3
34,652,정규경기,2018-2019,114,강바일,서울삼성,3.2,1.3,1.2,70.0,0.1,0.2,50.0,0.7,0.9,80.0,0.2,0.5,0.7,0.1,0.4,0.3,0.1,1.2
35,4376,플레이오프,2020 KBL D리그,14,강바일,삼성,14.0,6.0,9.0,44.4,0.0,1.0,0.0,3.0,5.0,60.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0
36,6435,D리그 1차,2020 KBL D리그,30,강바일,삼성,12.2,4.6,4.2,42.9,0.2,0.4,50.0,1.6,2.8,57.1,1.0,3.2,4.2,1.6,1.2,1.6,0.2,2.8
37,7541,D리그 2차,2020 KBL D리그,51,강바일,삼성,6.8,2.3,3.0,38.9,1.0,1.3,75.0,0.7,2.0,33.3,0.5,2.2,2.7,1.5,1.0,0.5,0.2,2.5
38,336,정규경기,2020-2021,185,강바일,서울삼성,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8106,KBL 컵대회,2021-2022,112,강바일,서울 삼성,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,4212,정규경기,1997,36,강병수,원주나래,8.7,3.8,6.0,57.1,0.8,1.8,45.9,0.0,0.0,0.0,2.0,4.4,6.4,0.6,1.3,1.8,0.4,3.4
41,6284,플레이오프,1997,24,강병수,원주나래,9.0,3.5,5.2,64.9,2.0,2.7,73.3,0.0,0.0,0.0,1.9,4.8,6.7,0.8,1.3,1.2,0.5,3.1
42,4076,정규경기,1997-1998,50,강병수,원주나래,7.1,3.0,4.5,50.3,0.5,0.8,65.7,0.0,0.0,0.0,2.0,3.0,5.0,0.8,1.1,1.3,0.3,2.8
43,6229,플레이오프,1997-1998,44,강병수,원주나래,3.2,1.4,3.0,40.0,0.2,1.2,16.7,0.0,0.0,0.0,1.6,2.4,4.0,1.2,1.0,0.4,0.4,3.8
44,4000,정규경기,1998-1999,119,강병수,수원삼성,0.8,0.3,0.9,23.1,0.1,0.1,100.0,0.0,0.0,0.0,0.6,1.0,1.6,0.1,0.6,0.3,0.0,2.1
45,6149,플레이오프,1998-1999,38,강병수,수원삼성,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.5,0.5,0.0,2.0
46,3836,정규경기,1999-2000,104,강병수,수원삼성,1.5,0.6,0.7,70.0,0.1,0.1,100.0,0.0,0.0,0.0,0.5,1.1,1.6,0.3,0.3,0.4,0.1,2.5
47,6076,플레이오프,1999-2000,43,강병수,수원삼성,3.0,1.3,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.3,0.3,0.3,0.0,0.0,1.7
48,3716,정규경기,2000-2001,133,강병수,수원삼성,0.6,0.3,0.7,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.3,0.3,0.0,0.0,0.5
49,6009,플레이오프,2000-2001,56,강병수,수원삼성,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,7317,D리그 1차,2010KBLWINTER,72,강병진,SK,6.8,2.8,3.2,58.6,0.3,0.3,100.0,0.0,0.0,0.0,0.8,1.2,2.0,0.6,1.9,0.7,0.1,3.0
51,7238,D리그 1차,2011KBLWINTER,68,강병진,SK,3.2,1.3,1.7,44.8,0.1,0.2,33.3,0.0,0.0,0.0,0.5,1.1,1.6,0.6,0.6,0.3,0.2,1.5
52,2368,정규경기,2008-2009,49,강병현,전주KCC,9.2,3.0,4.1,50.6,2.2,3.2,68.4,1.6,2.8,57.5,0.6,2.4,3.0,2.8,1.5,0.8,0.1,2.7
53,5374,플레이오프,2008-2009,46,강병현,전주KCC,3.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
54,2192,정규경기,2009-2010,34,강병현,전주KCC,10.0,3.3,4.0,50.0,2.0,2.7,75.4,1.9,3.5,53.4,0.8,2.5,3.2,2.2,1.1,0.9,0.2,2.9
55,5279,플레이오프,2009-2010,26,강병현,전주KCC,8.7,3.3,3.9,70.4,1.6,2.0,78.6,2.7,3.1,86.4,0.4,2.1,2.6,0.9,1.3,0.7,0.1,2.4
56,2015,정규경기,2010-2011,26,강병현,전주KCC,11.9,4.3,5.2,55.3,1.9,2.5,77.0,2.6,4.1,62.7,0.5,2.8,3.2,2.6,1.4,1.0,0.1,2.8
57,5163,플레이오프,2010-2011,10,강병현,전주KCC,13.6,5.0,6.0,54.8,1.9,2.7,68.4,3.0,4.6,65.6,0.4,1.3,1.7,2.7,1.0,1.0,0.0,3.3
58,979,정규경기,2016-2017,58,강상재,인천전자랜드,8.2,3.2,4.9,46.7,0.8,1.1,69.6,1.3,2.3,57.3,1.8,2.8,4.7,1.0,0.8,0.4,0.4,2.3
59,4613,플레이오프,2016-2017,23,강상재,인천전자랜드,8.6,3.6,5.4,55.6,0.8,1.2,66.7,1.6,3.4,47.1,2.0,1.8,3.8,0.6,0.6,0.4,0.2,4.2
60,780,정규경기,2017-2018,44,강상재,인천전자랜드,9.4,4.0,6.4,53.0,0.9,1.3,68.1,2.3,3.7,61.4,2.0,3.2,5.3,1.3,0.8,0.7,0.4,3.4
61,4531,플레이오프,2017-2018,17,강상재,인천전자랜드,11.6,4.4,6.0,60.0,2.0,2.6,76.9,2.8,4.2,66.7,2.4,2.8,5.2,0.4,0.8,1.0,0.4,3.8
62,581,정규경기,2018-2019,43,강상재,인천전자랜드,11.8,4.8,6.5,61.0,1.3,1.9,71.9,2.6,4.0,65.3,1.7,4.0,5.7,1.4,1.0,0.7,0.4,3.3
63,4441,플레이오프,2018-2019,22,강상재,인천전자랜드,11.7,3.7,6.7,35.0,3.0,4.0,75.0,2.0,3.3,60.0,1.7,3.7,5.3,2.3,1.0,0.7,0.3,2.0
64,396,정규경기,2019-2020,48,강상재,인천전자랜드,8.5,3.5,5.6,46.6,0.6,1.0,65.9,1.6,2.7,59.1,1.7,4.3,6.0,1.4,1.0,0.7,0.4,1.9
