,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
0,이용우,3,01:53:03,67,22,10,25,40.0%,15,39,38.5%,2,3,66.7%,3,6,3.0,15,5.0,6,0,0,0,1,1,0,0,0,5,1,4,1,1,2019.0,건국대학교
1,주현우,3,01:44:27,51,17,18,37,48.6%,0,0,0.0%,15,18,83.3%,10,19,9.0,6,2.0,3,2,0,0,1,6,0,0,0,1,1,8,0,0,2019.0,건국대학교
2,최진광,3,01:45:43,49,16,11,24,45.8%,7,16,43.8%,6,6,100.0%,1,10,3.0,21,7.0,1,0,0,0,3,3,0,0,1,4,5,9,5,0,2019.0,건국대학교
3,전태현,3,01:29:37,28,9,5,15,33.3%,6,20,30.0%,0,0,0.0%,7,14,7.0,0,0.0,2,1,0,0,7,7,0,0,0,1,0,4,1,0,2019.0,건국대학교
4,최형욱,3,01:34:24,10,3,0,4,0.0%,3,12,25.0%,1,4,25.0%,0,10,3.0,5,1.7,10,2,0,0,3,4,0,0,0,0,1,1,0,0,2019.0,건국대학교
5,정민수,3,00:25:18,9,3,3,7,42.9%,1,2,50.0%,0,1,0.0%,4,0,1.0,4,1.3,2,0,0,0,2,2,0,0,0,1,0,3,0,0,2019.0,건국대학교
6,고성빈,3,00:20:22,5,1,1,2,50.0%,0,1,0.0%,3,4,75.0%,1,2,1.0,2,0.7,2,0,0,0,2,2,0,0,1,1,0,1,2,2,2019.0,건국대학교
7,배성재,3,00:06:14,3,1,1,1,100.0%,0,0,0.0%,1,2,50.0%,1,0,0.0,1,0.3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2019.0,건국대학교
8,남진식,3,00:36:02,3,1,0,2,0.0%,1,2,50.0%,0,0,0.0%,0,3,1.0,0,0.0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2019.0,건국대학교
9,김기태,3,00:02:25,2,0,1,1,100.0%,0,0,0.0%,0,0,0.0%,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019.0,건국대학교
10,이예환,3,00:02:25,2,0,1,1,100.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2019.0,건국대학교
11,박찬호,4,01:43:10,63,15,22,40,55.0%,1,1,100.0%,16,21,76.2%,9,27,9.0,6,1.5,1,4,0,0,6,6,0,1,0,4,0,11,0,1,2019.0,경희대학교
12,권혁준,4,02:02:40,53,13,15,27,55.6%,4,13,30.8%,11,14,78.6%,5,15,5.0,19,4.8,3,2,0,0,3,6,0,0,0,5,3,10,0,0,2019.0,경희대학교
13,김준환,4,02:08:56,47,11,14,26,53.8%,5,13,38.5%,4,7,57.1%,8,15,5.0,14,3.5,4,2,0,0,3,5,0,0,1,3,1,8,4,1,2019.0,경희대학교
14,이용기,4,01:40:55,47,11,21,30,70.0%,1,4,25.0%,2,3,66.7%,6,15,5.0,3,0.8,4,5,0,0,5,4,0,0,0,6,2,7,1,0,2019.0,경희대학교
15,김동준,4,01:33:01,34,8,8,20,40.0%,4,11,36.4%,6,11,54.5%,0,5,1.0,10,2.5,2,0,0,0,3,2,0,0,1,2,2,4,7,0,2019.0,경희대학교
16,LISICHENG,4,00:43:51,21,5,8,17,47.1%,0,0,0.0%,5,9,55.6%,6,8,3.0,0,0.0,0,0,0,0,3,4,0,0,0,0,0,4,1,0,2019.0,경희대학교
17,최재화,4,01:52:39,17,4,7,20,35.0%,1,11,9.1%,0,0,0.0%,3,21,6.0,31,7.8,9,1,0,0,5,11,0,0,3,2,2,11,5,0,2019.0,경희대학교
18,박민채,4,00:40:42,10,2,2,3,66.7%,2,7,28.6%,0,0,0.0%,1,5,1.0,5,1.3,2,0,0,0,0,3,0,0,0,0,0,4,0,0,2019.0,경희대학교
19,정민혁,3,00:34:09,8,2,1,6,16.7%,2,7,28.6%,0,0,0.0%,0,2,0.0,2,0.7,1,0,0,0,1,3,0,0,1,0,0,2,2,0,2019.0,경희대학교
20,이준협,4,00:07:39,2,0,1,1,100.0%,0,1,0.0%,0,0,0.0%,0,2,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2019.0,경희대학교
21,윤성현,4,00:12:18,0,0,0,1,0.0%,0,2,0.0%,0,0,0.0%,2,2,1.0,3,0.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2019.0,경희대학교
22,장동하,4,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019.0,경희대학교
23,하윤기,5,02:24:15,76,15,29,49,59.2%,0,0,0.0%,18,23,78.3%,22,28,10.0,15,3.0,4,5,0,0,10,1,0,0,1,3,0,6,0,0,2019.0,고려대학교
24,박정현,5,02:12:36,71,14,23,52,44.2%,4,13,30.8%,13,14,92.9%,9,32,8.0,12,2.4,4,3,0,0,2,12,0,0,0,1,2,11,2,0,2019.0,고려대학교
25,신민석,5,02:11:06,67,13,10,23,43.5%,15,34,44.1%,2,3,66.7%,12,10,4.0,12,2.4,8,5,0,0,2,9,0,0,0,4,2,6,6,0,2019.0,고려대학교
26,정호영,5,02:09:55,63,12,14,23,60.9%,11,31,35.5%,2,4,50.0%,0,9,1.0,15,3.0,3,4,0,0,3,2,0,0,0,6,2,10,0,1,2019.0,고려대학교
27,김진영,5,01:47:40,55,11,15,25,60.0%,6,15,40.0%,7,13,53.8%,3,19,4.0,17,3.4,6,3,3,3,1,4,0,0,0,6,2,5,1,0,2019.0,고려대학교
28,이우석,5,02:17:58,41,8,7,14,50.0%,7,18,38.9%,6,8,75.0%,9,19,5.0,17,3.4,7,0,0,0,2,7,0,0,0,3,2,8,1,0,2019.0,고려대학교
29,박민우,5,01:29:59,40,8,17,31,54.8%,0,3,0.0%,6,7,85.7%,9,15,4.0,8,1.6,4,0,0,0,3,4,0,0,0,3,1,6,1,0,2019.0,고려대학교
30,서정현,5,00:37:53,20,4,9,18,50.0%,0,0,0.0%,2,4,50.0%,8,2,2.0,2,0.4,0,2,0,0,1,3,0,0,0,0,0,4,1,0,2019.0,고려대학교
31,김형진,5,01:18:37,17,3,4,8,50.0%,2,5,40.0%,3,4,75.0%,3,9,2.0,15,3.0,5,0,0,0,3,6,0,0,2,3,1,9,6,0,2019.0,고려대학교
32,여준형,5,00:11:10,6,1,2,2,100.0%,0,0,0.0%,2,2,100.0%,1,0,0.0,0,0.0,0,0,0,0,3,2,0,0,1,0,0,3,0,0,2019.0,고려대학교
33,김병수,5,00:13:13,4,0,2,3,66.7%,0,1,0.0%,0,0,0.0%,1,0,0.0,2,0.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019.0,고려대학교
34,최성현,5,00:10:38,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,1,2,0.0,2,0.4,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2019.0,고려대학교
35,윤성준,3,01:41:54,51,17,6,19,31.6%,13,38,34.2%,0,0,0.0%,3,11,4.0,11,3.7,6,1,0,0,3,4,0,0,0,6,3,9,5,2,2019.0,단국대학교
36,조재우,3,01:17:25,33,11,16,25,64.0%,0,0,0.0%,1,2,50.0%,7,14,7.0,4,1.3,3,3,0,0,7,2,0,0,0,1,0,6,0,0,2019.0,단국대학교
