,경기,년도,순위,선수명,팀,PTS,FG,FGA,FG%,FT,FTA,FT%,PP,PPA,PP%,REB_OFF,REB_DEF,REB_TOT,AST,TO,STL,BS,DF
0,정규경기,2014-2015,36,CJ 레슬리,안양 KGC,0.15916114,0.18515751,0.5891995,0.06552984,0.3484151,0.30547714,0.52500415,0.8934376,1.229578,0.81946194,0.6331141,0.5717126,0.5901469,-0.46573353,0.126033,0.04966313,0.40892154,0.60043585
1,정규경기,1999-2000,14,G.J 헌터,수원삼성,1.8455275,1.7047378,1.7686845,0.16911554,1.8305128,1.5040318,0.8585375,-0.53075624,-0.5539209,-0.7869104,-0.047872517,1.1287409,0.7987166,0.9377214,1.3522958,2.848286,0.20876984,0.416445
2,플레이오프,1999-2000,8,G.J 헌터,수원삼성,1.5414286,1.3160077,1.8140494,-0.020791527,2.1833932,1.9209204,0.75036454,-0.53075624,-0.5539209,-0.7869104,0.03725083,1.3429825,0.9774906,0.80405897,0.7863284,1.9154115,0.20876984,-0.13552746
3,정규경기,2003-2004,6,R.F. 바셋,전주KCC,1.8869954,2.0581284,2.4264746,0.4798725,1.5482085,1.5040318,0.5971195,-0.53075624,-0.5539209,-0.7869104,1.1438541,2.1999488,1.9309523,0.13574718,1.7296075,0.36062118,4.0116525,1.2444038
4,플레이오프,2003-2004,19,R.F. 바셋,전주KCC,0.8641176,1.1746516,1.4284484,0.60935456,0.06611072,0.14914396,0.38377813,-0.53075624,-0.5539209,-0.7869104,0.20749743,1.4715273,1.0966734,0.4030719,3.6161654,2.5373278,4.0116525,1.704381
5,정규경기,2004-2005,51,R.F. 바셋,전주KCC,0.35267866,0.36185285,0.5211522,0.41944745,0.56014335,0.82658786,0.18245623,-0.53075624,-0.5539209,-0.7869104,0.54799086,1.1715891,1.0072863,-0.46573353,1.4466238,0.9825373,1.40968,1.060413
6,정규경기,2007-2008,6,TJ 커밍스,안양KT&G,1.6105419,1.810755,2.2223327,0.5014528,1.2659041,1.0871433,0.75637406,2.8303413,2.6633713,1.3122143,1.0587307,0.70025766,0.8583079,-0.59939593,0.69200045,0.04966313,1.6098317,0.6924312
7,플레이오프,2007-2008,12,TJ 커밍스,안양KT&G,1.1820389,1.5280424,2.2450151,0.2554369,0.3484151,0.25336614,0.69026846,2.203696,2.5934303,0.97714263,1.8248409,0.65740925,1.0966734,-0.93355185,0.126033,0.04966313,0.8092249,0.14045875
8,정규경기,2008-2009,16,가넷 톰슨,대구오리온스,1.2926205,1.4220251,1.7006373,0.4064993,0.9835997,1.6603651,-0.048913833,3.0012443,3.2928417,1.0724081,1.5694709,1.3001342,1.4542214,0.46990305,1.9182634,0.2051422,1.8099835,1.6123854
9,정규경기,2004-2005,15,가이 루커,인천전자랜드,1.8593502,2.0227892,2.1996505,0.7043079,1.8305128,1.4519207,0.9426722,-0.53075624,-0.5539209,-0.7869104,1.2289774,3.228309,2.6758442,0.46990305,2.106919,0.2051422,3.2110453,0.14045875
