,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
0,LISICHENG,-0.56873155,-0.12839843,-0.10862604,0.51376534,0.19081707,0.16996011,0.47276422,-0.43505692,-0.4727603,-0.69230264,-0.35034192,-0.21372692,-0.048210837,0.41991156,0.7076258,2.5435512,-0.34964395,-0.3020919,-0.14221913,-0.368265,-0.07178532,-0.09591649,0.23093113,0.35919234,-0.124685906,-0.47883502,-0.43599334,-0.39023393,0.5854798,-0.35651937,-0.2684201,2021.0,경희대학교
1,LISICHENG,1.3663982,0.8193716,0.83683604,0.09129308,1.4217161,1.3365325,0.54771537,-0.43505692,-0.4727603,-0.69230264,0.9250446,1.4286184,0.40645957,1.3909533,1.9277987,0.67674696,0.24964863,-0.2158927,0.06589094,1.1192834,14.241585,12.122778,3.0215771,0.8404709,-0.124685906,-0.14439434,-0.13414168,-0.39023393,1.3958452,1.4614916,-0.2684201,2019.0,경희대학교
2,LISICHENG,-0.92057335,-0.6512455,-0.5813571,-0.7536515,-0.54772234,-0.5799793,-1.23067,-0.43505692,-0.4727603,-0.69230264,-0.50976527,-0.542196,-0.95482904,-0.5511302,-0.593892,-0.72335607,-0.46950248,-0.56068945,-0.55843925,-0.368265,-0.07178532,-0.09591649,-0.64114577,-0.6033648,-0.124685906,-0.47883502,-0.43599334,-0.39023393,-0.6300682,-0.35651937,-0.2684201,2020.0,경희대학교
3,LISICHENG,-0.39281067,-0.26613614,-0.058864873,0.30252922,0.10875714,0.1282968,0.37396505,-0.43505692,-0.4727603,-0.69230264,0.28735134,0.44321123,0.5589239,0.28119132,0.056866914,0.67674696,-0.46950248,-0.56068945,-0.55843925,-0.368265,-0.07178532,-0.09591649,-0.11789962,0.03833996,-0.124685906,-0.47883502,-0.43599334,-0.39023393,-0.08982463,-0.053517554,-0.2684201,2019.0,경희대학교
4,LISICHENG,-0.56873155,-0.21680818,-0.1583872,0.30252922,0.026697205,0.08663352,0.2615384,-0.43505692,-0.4727603,-0.69230264,-0.031495303,0.005252462,0.67871726,0.14247108,0.21955663,1.610149,-0.22978544,0.042704865,-0.55843925,0.12758447,7.0849,12.122778,0.57976186,0.03833996,-0.124685906,-0.47883502,-0.43599334,-0.39023393,0.31535804,-0.35651937,-0.2684201,2020.0,경희대학교
5,LISICHENG,-0.56873155,-0.14508504,-0.033984292,0.7250015,0.272877,0.08663352,0.8986228,-0.43505692,-0.4727603,-0.69230264,-0.19091861,-0.10423723,0.40645957,0.0037508307,1.1143501,3.010252,-0.109926924,0.30130246,-0.14221913,-0.368265,-0.07178532,-0.09591649,-0.46673036,0.6800447,-0.124685906,-0.47883502,-0.43599334,-0.39023393,0.18029715,0.24948426,-0.2684201,2021.0,경희대학교
6,강동균,-0.74465245,-0.6512455,-0.5813571,-0.7536515,-0.54772234,-0.5799793,-1.23067,-0.43505692,-0.4727603,-0.69230264,-0.50976527,-0.542196,-0.95482904,-0.5511302,-0.593892,-0.72335607,-0.46950248,-0.56068945,-0.55843925,-0.368265,-0.07178532,-0.09591649,-0.64114577,-0.6033648,-0.124685906,-0.47883502,-0.43599334,-0.39023393,-0.6300682,-0.35651937,-0.2684201,2018.0,명지대학교
7,강동훈,1.0145564,-0.56605595,-0.45695418,-0.7536515,-0.54772234,-0.5799793,-1.23067,-0.24365525,-0.35945,1.5253513,-0.19091861,-0.32321662,1.7677482,-0.5511302,-0.51254714,-0.72335607,-0.34964395,-0.47449026,-0.3503292,-0.368265,-0.07178532,-0.09591649,-0.46673036,-0.28251243,-0.124685906,-0.47883502,-0.43599334,-0.39023393,-0.4950073,-0.35651937,-0.2684201,2012.0,단국대학교
8,강명수,-0.74465245,-0.6512455,-0.5813571,-0.7536515,-0.54772234,-0.5799793,-1.23067,-0.43505692,-0.4727603,-0.69230264,-0.50976527,-0.542196,-0.95482904,-0.5511302,-0.593892,-0.72335607,-0.46950248,-0.56068945,-0.55843925,-0.368265,-0.07178532,-0.09591649,-0.64114577,-0.6033648,-0.124685906,-0.47883502,-0.43599334,-0.39023393,-0.6300682,-0.35651937,-0.2684201,2017.0,명지대학교
9,강명수,1.0145564,-0.44017452,-0.53159595,-0.7536515,-0.4656624,-0.41332608,-0.3789529,-0.43505692,-0.1328295,-0.69230264,-0.50976527,-0.542196,-0.95482904,-0.4124099,-0.51254714,-0.72335607,-0.22978544,-0.3882911,-0.14221913,-0.368265,-0.07178532,-0.09591649,0.05651576,-0.44293863,-0.124685906,-0.47883502,-0.43599334,0.17970644,-0.4950073,-0.35651937,-0.2684201,2018.0,명지대학교
