,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
0,강권희,-0.74400616,-0.9242743,-0.8205711,-1.3393344,-0.745875,-0.79570496,2.5403597,-0.6218826,-0.62587166,-1.0858586,-0.7362429,-0.75760186,-1.8032494,-0.71743417,-0.81473345,-1.1857603,-0.6031962,-0.8645425,-0.79292136,-0.49301296,-0.14352098,-0.15011856,-0.51844364,-0.9601212,-0.1270635,-0.7550667,-0.5202168,-0.488042,-0.7082373,-0.35471886,-0.3217548,2008.0,동국대학교
1,강권희,-1.0820063,-0.764175,-0.70635605,0.43143997,-0.7068839,-0.75328183,0.8860074,-0.3992088,-0.44015437,0.5303986,-0.6599045,-0.65003955,-0.21431422,-0.5856506,-0.7316496,0.16789645,-0.6031962,-0.8645425,-0.79292136,-0.49301296,-0.14352098,-0.15011856,-0.92039186,-0.9601212,-0.1270635,-0.5659521,-0.5202168,-0.488042,-0.7082373,-0.35471886,-0.3217548,2009.0,동국대학교
2,강권희,-0.74400616,-0.48636428,-0.5286882,-0.051498495,-0.5899105,-0.49874297,-0.7733129,-0.065198086,-0.068719745,0.4333261,-0.7362429,-0.75760186,-1.8032494,-0.65154237,-0.56548184,-0.50893193,-0.48429304,-0.37116557,-0.6725543,-0.3057304,-0.14352098,-0.15011856,-0.38446093,-0.4629723,-0.1270635,-0.18772297,-0.5202168,-0.488042,-0.3225073,-0.35471886,-0.3217548,2010.0,동국대학교
3,강병진,-0.57500607,-0.64578146,-0.7698089,-1.1783549,-0.66789275,-0.6260124,-0.7733129,-0.6218826,-0.36586744,-1.0858586,-0.7362429,-0.7038207,-1.8032494,-0.5856506,-0.7316496,-0.84734607,-0.5437446,-0.65309525,-0.79292136,-0.49301296,-0.14352098,-0.15011856,-0.92039186,-0.58725953,-0.1270635,-0.37683752,-0.5202168,-0.488042,-0.5539453,-0.35471886,-0.3217548,2010.0,건국대학교
4,강병진,-0.57500607,-0.44573042,-0.55406934,-0.53443694,-0.5899105,-0.58358926,-0.16721389,-0.176535,-0.14300667,0.30227822,-0.6599045,-0.43491495,-1.2725451,-0.19030008,-0.56548184,-0.17051773,-0.48429304,-0.5121304,-0.5521873,-0.49301296,-0.14352098,-0.15011856,-0.51844364,-0.21439788,-0.1270635,-0.37683752,-0.5202168,-0.488042,-0.3996533,-0.35471886,-0.3217548,2009.0,건국대학교
5,강병진,-0.91300625,-0.93070555,-0.8205711,-1.1783549,-0.745875,-0.7744934,0.05634724,-0.6218826,-0.6630151,-1.0858586,-0.7362429,-0.75760186,-1.8032494,-0.65154237,-0.7731915,-0.84734607,-0.6031962,-0.8645425,-0.79292136,-0.49301296,-0.14352098,-0.15011856,-0.92039186,-0.83583397,-0.1270635,-0.7550667,-0.5202168,-0.488042,-0.7853833,-0.35471886,-0.3217548,2008.0,건국대학교
6,강병현,-0.57500607,-0.6085581,-0.5667599,-0.53443694,-0.47293717,-0.39268512,-0.44045526,-0.51054573,-0.25443706,-0.6441787,-0.50722766,-0.54247725,0.58015335,-0.5856506,-0.6485657,-0.84734607,-0.48429304,-0.5121304,-0.43182024,-0.3057304,-0.14352098,-0.15011856,-0.65242636,-0.9601212,-0.1270635,-0.7550667,-0.23938891,0.6054996,-0.5539453,-0.07692568,-0.3217548,2017.0,중앙대학교
7,강병현,1.4529948,-0.21284102,-0.36371088,-1.0173753,-0.27798158,-0.30783883,0.26500428,-0.3992088,-0.105863206,-0.44032642,-0.2782124,-0.004665773,-0.43994302,-0.5856506,-0.10852065,-0.84734607,-0.48429304,-0.79406005,-0.6725543,-0.3057304,-0.14352098,-0.15011856,0.01748728,-0.21439788,5.5294533,0.0013916092,-0.37980285,-0.12352814,-0.3225073,-0.07692568,0.40891442,2016.0,중앙대학교
8,강병현,-0.23700595,-0.05517782,-0.14797133,0.10948099,-0.16100822,-0.22299255,0.40907702,-0.065198086,-0.25443706,1.1225408,-0.12553559,-0.27357152,1.0218773,-0.4538671,-0.10852065,-0.17051773,-0.4248415,-0.5121304,-0.31145322,-0.118447855,-0.14352098,-0.15011856,-0.25047818,0.28275102,-0.1270635,0.5687353,-0.5202168,-0.488042,-0.01392331,-0.35471886,-0.3217548,2004.0,중앙대학교
9,강병현,-0.23700595,0.34014952,0.35965118,1.0753579,0.22890297,0.11639257,0.5084375,0.046138823,0.33985835,-0.008353796,1.1722174,1.3936441,0.18291956,-0.12440832,0.34844056,0.84472483,0.11022258,0.5451059,0.04964789,-0.118447855,-0.14352098,-0.15011856,-0.65242636,0.7798999,-0.1270635,-0.37683752,-0.5202168,-0.488042,0.44895265,-0.35471886,-0.3217548,2007.0,중앙대학교
