,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
0,강권희,3.0,397,2.0,0.0,1.0,1.0,1000,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2008.0,동국대학교
1,강권희,1.0,2040,11.0,11.0,2.0,3.0,667,2.0,6.0,333,1.0,2.0,500,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2009.0,동국대학교
2,강권희,3.0,4891,25.0,8.0,5.0,15.0,333,5.0,16.0,313,0.0,0.0,0,1.0,6.0,2.0,2.0,0.7,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,2010.0,동국대학교
3,강병진,4.0,3255,6.0,1.0,3.0,9.0,333,0.0,8.0,0,0.0,1.0,0,2.0,2.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2010.0,건국대학교
4,강병진,4.0,5308,23.0,5.0,5.0,11.0,455,4.0,14.0,286,1.0,6.0,167,8.0,6.0,3.0,2.0,0.5,2.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,2009.0,건국대학교
5,강병진,2.0,331,2.0,1.0,1.0,2.0,500,0.0,0.0,0,0.0,0.0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2008.0,건국대학교
6,강병현,4.0,3637,22.0,5.0,8.0,20.0,400,1.0,11.0,91,3.0,4.0,750,2.0,4.0,1.0,2.0,0.5,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,2.0,0.0,2017.0,중앙대학교
7,강병현,16.0,7698,38.0,2.0,13.0,24.0,542,2.0,15.0,133,6.0,14.0,429,2.0,17.0,1.0,2.0,0.1,1.0,1.0,0.0,0.0,7.0,6.0,0.0,1.0,4.0,1.0,1.0,7.0,2.0,1.0,2016.0,중앙대학교
8,강병현,6.0,9316,55.0,9.0,16.0,28.0,571,5.0,11.0,455,8.0,9.0,889,4.0,17.0,3.0,3.0,0.5,4.0,2.0,0.0,0.0,5.0,10.0,0.0,0.0,7.0,0.0,0.0,11.0,0.0,0.0,2004.0,중앙대학교
9,강병현,6.0,13373,95.0,15.0,26.0,44.0,591,6.0,27.0,222,25.0,40.0,625,9.0,28.0,6.0,12.0,2.0,7.0,2.0,0.0,0.0,2.0,14.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,2007.0,중앙대학교
