,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교,대회명
0,LISICHENG,14.0,2:47:27,57.0,4.0,24.0,46.0,52.20%,0.0,0.0,0.00%,9.0,18.0,50.00%,14.0,31.0,3.0,6.0,0.4,3.0,3.0,2.0,2.0,21.0,9.0,0.0,0.0,1.0,1.0,0.0,15.0,6.0,0.0,2019.0,경희대학교,대학농구리그
1,LISICHENG,4.0,0:43:51,21.0,5.0,8.0,17.0,47.10%,0.0,0.0,0.00%,5.0,9.0,55.60%,6.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2019.0,경희대학교,MBC배 대학리그
2,LISICHENG,1.0,0:00:00,0.0,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,경희대학교,대학농구리그
3,LISICHENG,3.0,0:49:28,17.0,5.0,7.0,16.0,43.80%,0.0,0.0,0.00%,3.0,5.0,60.00%,5.0,10.0,5.0,2.0,0.7,0.0,1.0,1.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2020.0,경희대학교,대학농구리그
4,LISICHENG,3.0,0:57:38,22.0,7.0,10.0,16.0,62.50%,0.0,0.0,0.00%,2.0,4.0,50.00%,4.0,21.0,8.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2021.0,경희대학교,대학농구리그
5,LISICHENG,3.0,0:59:32,19.0,6.0,9.0,18.0,50.00%,0.0,0.0,0.00%,1.0,3.0,33.30%,7.0,16.0,7.0,1.0,0.3,2.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2021.0,경희대학교,대학농구리그
6,강동균,2.0,0:00:00,0.0,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,명지대학교,대학농구리그
7,강동훈,12.0,0:09:42,5.0,0.0,0.0,0.0,0.00%,1.0,2.0,50.00%,2.0,2.0,100.00%,0.0,1.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2012.0,단국대학교,대학농구리그
8,강명수,2.0,0:00:00,0.0,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,명지대학교,MBC배 대학리그
9,강명수,12.0,0:24:02,2.0,0.0,1.0,4.0,25.00%,0.0,6.0,0.00%,0.0,0.0,0.00%,1.0,1.0,0.0,2.0,0.2,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2018.0,명지대학교,대학농구리그
