,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교,대회명
0,강권희,3,0:06:37,2,0,1,1,100.00%,0,1,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,2008,동국대학교,MBC배 대학리그
1,강권희,1,0:34:00,11,11,2,3,66.70%,2,6,33.30%,1,2,50.00%,2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2009,동국대학교,MBC배 대학리그
2,강권희,3,1:21:31,25,8,5,15,33.30%,5,16,31.30%,0,0,0.00%,1,6,2,2,0.7,1,1,0,0,4,4,0,0,3,0,0,7,0,0,2010,동국대학교,MBC배 대학리그
3,강병진,2,0:05:31,2,1,1,2,50.00%,0,0,0.00%,0,0,0.00%,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2008,건국대학교,MBC배 대학리그
4,강병진,4,1:28:28,23,5,5,11,45.50%,4,14,28.60%,1,6,16.70%,8,6,3,2,0.5,2,0,0,0,3,6,0,0,2,0,0,6,0,0,2009,건국대학교,MBC배 대학리그
5,강병진,4,0:54:15,6,1,3,9,33.30%,0,8,0.00%,0,1,0.00%,2,2,1,1,0.3,0,0,0,0,0,3,0,0,2,0,0,4,0,0,2010,건국대학교,MBC배 대학리그
6,강병현,6,2:35:16,55,9,16,28,57.10%,5,11,45.50%,8,9,88.90%,4,17,3,3,0.5,4,2,0,0,5,10,0,0,7,0,0,11,0,0,2004,중앙대학교,MBC배 대학리그
7,강병현,7,3:57:07,97,13,21,43,48.80%,12,24,50.00%,19,29,65.50%,7,15,3,8,1.1,5,1,0,0,8,6,0,0,6,0,0,15,0,0,2005,중앙대학교,MBC배 대학리그
8,강병현,7,3:59:38,122,17,34,46,73.90%,12,30,40.00%,18,21,85.70%,10,19,4,9,1.3,4,0,0,0,6,14,0,0,12,0,0,11,0,0,2006,중앙대학교,MBC배 대학리그
9,강병현,6,3:42:53,95,15,26,44,59.10%,6,27,22.20%,25,40,62.50%,9,28,6,12,2,7,2,0,0,2,14,0,0,2,0,0,17,0,0,2007,중앙대학교,MBC배 대학리그
10,강상재,14,3:48:30,118,8,50,85,58.80%,2,4,50.00%,12,20,60.00%,26,40,4,8,0.6,6,3,0,0,7,15,0,0,5,7,4,13,0,0,2013,고려대학교,대학농구리그
11,강상재,5,0:41:44,18,3,6,15,40.00%,1,2,50.00%,3,4,75.00%,7,10,3,1,0.2,3,3,0,0,3,0,0,0,1,0,0,1,0,0,2013,고려대학교,MBC배 대학리그
12,강상재,16,5:16:33,128,8,51,96,53.10%,5,20,25.00%,11,19,57.90%,33,69,6,7,0.4,16,10,0,0,11,21,0,1,7,6,1,19,0,0,2014,고려대학교,대학농구리그
13,강상재,5,1:15:02,33,6,12,24,50.00%,3,11,27.30%,0,0,0.00%,10,22,6,0,0,4,1,0,0,9,4,0,0,1,2,2,3,0,0,2014,고려대학교,MBC배 대학리그
14,강상재,15,5:41:24,222,14,89,137,65.00%,6,15,40.00%,26,37,70.30%,31,85,7,6,0.4,12,2,0,0,9,11,0,0,3,5,3,16,0,0,2015,고려대학교,대학농구리그
15,강상재,5,2:19:33,62,12,28,55,50.90%,1,7,14.30%,3,4,75.00%,15,30,9,3,0.6,3,1,0,0,3,6,0,0,2,1,1,2,0,0,2015,고려대학교,MBC배 대학리그
16,강상재,13,6:01:46,202,15,74,140,52.90%,13,33,39.40%,15,21,71.40%,30,65,7,22,1.7,15,15,0,0,6,24,0,0,12,10,1,34,2,0,2016,고려대학교,대학농구리그
17,강상재,4,1:53:40,53,13,20,37,54.10%,3,11,27.30%,4,8,50.00%,6,17,5,8,2,3,4,1,1,4,4,0,0,2,2,0,9,0,0,2016,고려대학교,MBC배 대학리그
18,강우형,4,0:34:42,6,1,3,4,75.00%,0,2,0.00%,0,0,0.00%,3,2,1,2,0.5,1,0,0,0,3,2,0,0,2,0,0,3,0,0,2003,경희대학교,MBC배 대학리그
19,강우형,4,0:39:08,6,1,3,6,50.00%,0,0,0.00%,0,2,0.00%,5,7,3,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0,0,2004,경희대학교,MBC배 대학리그
20,강우형,8,4:17:14,59,7,19,22,86.40%,5,10,50.00%,6,7,85.70%,22,37,7,14,1.8,3,2,0,0,8,13,0,0,10,0,0,12,0,0,2006,경희대학교,MBC배 대학리그
21,강윤식,1,0:09:18,5,5,2,5,40.00%,0,0,0.00%,1,2,50.00%,2,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2000,명지대학교,MBC배 대학리그
22,강윤식,2,0:35:06,19,9,8,14,57.10%,0,0,0.00%,3,7,42.90%,3,9,6,0,0,0,0,0,0,3,2,0,0,3,0,0,4,0,0,2001,명지대학교,MBC배 대학리그
23,강윤식,4,1:28:53,35,8,12,25,48.00%,0,0,0.00%,11,21,52.40%,8,15,5,0,0,0,1,0,0,5,3,0,0,2,0,0,10,0,0,2002,명지대학교,MBC배 대학리그
24,강윤식,4,1:01:29,33,8,15,20,75.00%,0,0,0.00%,3,6,50.00%,4,7,2,1,0.3,0,1,0,0,3,5,0,0,2,0,0,9,0,0,2003,명지대학교,MBC배 대학리그
