,선수명,대학교,경기수,득점 전체,득점 평균,2점슛 성공,2점슛 시도,3점슛 성공,3점슛 시도,자유투 성공,자유투 시도,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,년수
0,강권희,동국대학교,2.4000000000000004,16.2,7.3,3.3,8.6,3.1,10.0,0.3,0.6,1.1,3.6,2.2,1.0,0.35,0.5,0.5,0.0,0.0,2.6,2.0,0.0,0.0,1.8,0.0,0.0,4.5,0.0,0.0,3.0
1,강병진,건국대학교,3.5999999999999996,10.3,2.2,3.2,8.2,1.2,8.2,0.3,2.3,3.6,3.0,1.5999999999999999,1.1,0.3,0.6,0.0,0.0,0.0,0.8999999999999999,3.5,0.0,0.0,1.6,0.0,0.0,4.0,0.0,0.0,3.0
2,강병현,중앙대학교,6.500000000000001,99.5,14.6,26.4,42.8,8.9,25.700000000000003,20.0,29.0,8.4,21.6,4.5,9.4,1.46,5.4,1.2000000000000002,0.0,0.0,4.7,12.0,0.0,0.0,6.3,0.0,0.0,14.200000000000001,0.0,0.0,4.0
3,강상재,고려대학교,18.900000000000002,233.0,22.900000000000002,90.9,162.39999999999998,10.4,31.0,20.0,30.1,40.1,90.5,12.700000000000001,17.0,1.9400000000000002,16.6,11.3,0.4,0.4,12.6,22.8,0.0,0.2,9.3,8.9,2.6,28.4,0.8,0.0,4.0
4,강우형,경희대학교,6.0,32.5,4.0,11.0,13.6,2.5,5.4,3.0,4.1,13.1,21.0,4.6,7.4,1.0,1.7,1.0,0.0,0.0,5.5,7.5,0.0,0.0,5.4,0.0,0.0,7.5,0.0,0.0,3.0
5,강윤식,명지대학교,3.3,28.0,7.9,11.399999999999999,18.8,0.0,0.0,5.2,10.3,4.8,9.200000000000001,3.8000000000000003,0.4,0.12,0.0,0.7,0.0,0.0,3.4000000000000004,3.4,0.0,0.0,2.0,0.0,0.0,7.6,0.0,0.0,4.0
6,강은식,한양대학교,4.6,56.3,11.899999999999999,22.1,36.6,0.3,1.0,11.2,16.8,13.2,23.1,7.3,6.5,1.46,3.9000000000000004,3.8,0.0,0.0,7.0,9.8,0.0,0.0,8.9,0.0,0.0,8.0,0.0,0.0,3.0
7,강준구,한양대학교,5.1,47.099999999999994,8.6,7.199999999999999,13.9,9.1,24.2,5.4,7.3,2.6,7.7,1.3,2.8,0.56,1.7,0.0,0.0,0.0,4.6,4.0,0.0,0.0,2.0999999999999996,0.0,0.0,7.800000000000001,0.0,0.0,3.0
8,강창모,동국대학교,11.9,66.3,7.1000000000000005,27.099999999999998,52.400000000000006,0.0,0.0,12.1,20.7,29.900000000000002,21.0,5.4,3.9,0.24,5.9,8.799999999999999,0.0,0.0,13.899999999999999,13.0,0.0,0.0,9.1,1.7999999999999998,0.3,13.2,0.0,0.0,4.0
9,강호연,명지대학교,16.6,107.60000000000001,13.8,13.9,33.6,25.3,80.6,3.9000000000000004,4.2,11.9,24.3,3.1,3.0,0.2,9.9,2.4000000000000004,0.0,0.0,13.3,19.8,0.0,0.0,6.400000000000001,4.2,1.7000000000000002,16.3,11.4,3.7,4.0
