,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
0,주현우,3,01:51:22,78,26,30,58,51.7%,0,0,0.0%,18,27,66.7%,22,18,13.0,7,2.3,8,1,0,0,3,3,0,0,0,2,1,3,2,0,2021,건국대학교
1,정민수,3,01:47:06,38,12,11,24,45.8%,4,17,23.5%,4,6,66.7%,2,5,2.0,10,3.3,6,0,0,0,1,7,0,0,0,3,1,12,0,0,2021,건국대학교
2,백지웅,3,01:42:12,32,10,3,5,60.0%,8,35,22.9%,2,2,100.0%,9,12,7.0,4,1.3,3,1,0,0,2,4,0,0,0,1,1,6,0,0,2021,건국대학교
3,조환희,3,01:45:31,26,8,6,25,24.0%,3,16,18.8%,5,8,62.5%,3,11,4.0,14,4.7,7,0,0,0,4,4,0,0,0,2,2,4,1,0,2021,건국대학교
4,최승빈,2,01:06:08,16,8,7,16,43.8%,0,7,0.0%,2,2,100.0%,14,8,11.0,2,1.0,1,0,0,0,2,3,0,0,0,2,0,5,4,0,2021,건국대학교
5,배성재,3,00:39:07,9,3,3,6,50.0%,0,1,0.0%,3,4,75.0%,3,4,2.0,2,0.7,2,0,0,0,2,2,0,0,0,1,0,4,3,0,2021,건국대학교
6,박상우,3,00:20:39,6,2,2,2,100.0%,0,8,0.0%,2,2,100.0%,0,2,0.0,3,1.0,2,0,0,0,1,1,0,0,0,2,0,0,0,0,2021,건국대학교
7,조성준,3,00:25:37,6,2,1,8,12.5%,0,1,0.0%,4,6,66.7%,3,3,2.0,1,0.3,2,0,0,0,3,1,0,0,0,0,0,2,0,0,2021,건국대학교
8,김도연,3,00:05:34,2,0,1,1,100.0%,0,2,0.0%,0,0,0.0%,1,2,1.0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2021,건국대학교
9,하헌일,3,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,건국대학교
