,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교_건국대학교,대학교_경희대학교,대학교_고려대학교,대학교_단국대학교,대학교_동국대학교,대학교_명지대학교,대학교_상명대학교,대학교_성균관대학교,대학교_연세대학교,대학교_조선대학교,대학교_중앙대학교,대학교_한양대학교,EFF,키
0,강병진,4,3255,6,1.5,3,9,0.333333333,0,8,0.0,0,1,0.0,2,2,1.0,1,0.25,0,0,0,0,0,3,0,2,0,0,4,0,0,2010,1,0,0,0,0,0,0,0,0,0,0,0,81,193.0
1,강상재,13,21706,202,15.53846154,74,140,0.528571429,13,33,0.393939394,15,21,0.714285714,30,65,7.307692308,22,1.692307692,15,15,0,0,6,24,0,12,10,1,34,2,0,2016,0,0,1,0,0,0,0,0,0,0,0,0,807,200.0
2,강우형,8,15434,59,7.375,19,22,0.863636364,5,10,0.5,6,7,0.857142857,22,37,7.375,14,1.75,3,2,0,0,8,13,0,10,0,0,12,0,0,2006,0,1,0,0,0,0,0,0,0,0,0,0,44,191.0
3,강은식,4,5915,61,15.25,24,42,0.571428571,0,1,0.0,13,17,0.764705882,12,21,8.25,8,2.0,6,4,0,0,6,10,0,11,0,0,10,0,0,2004,0,0,0,0,0,0,0,0,0,0,0,1,90,198.0
4,강준구,5,8734,56,11.2,9,18,0.5,11,29,0.379310345,5,6,0.833333333,1,13,2.8,5,1.0,2,0,0,0,5,5,0,2,0,0,11,0,0,2001,0,0,0,0,0,0,0,0,0,0,0,1,8,185.0
5,강호연,5,7989,72,14.4,13,22,0.590909091,13,35,0.371428571,7,7,1.0,6,12,3.6,0,0.0,5,2,0,0,4,7,0,6,3,0,5,7,1,2015,0,0,0,0,0,1,0,0,0,0,0,0,102,188.0
6,곽동기,4,8641,77,19.25,29,52,0.557692308,2,7,0.285714286,13,17,0.764705882,9,15,6.0,4,1.0,4,3,0,0,8,2,0,0,0,0,15,5,3,2019,0,0,0,0,0,0,1,0,0,0,0,0,185,193.0
7,곽정훈,3,6505,38,12.66666667,10,16,0.625,4,18,0.222222222,6,7,0.857142857,3,24,9.0,12,4.0,6,3,0,0,3,8,0,0,2,3,14,0,0,2020,0,0,0,0,0,0,1,0,0,0,0,0,53,187.0
8,권성진,4,7994,39,9.75,10,25,0.4,6,28,0.214285714,1,2,0.5,5,15,5.0,8,2.0,2,0,0,0,5,3,0,2,5,3,7,2,0,2018,0,1,0,0,0,0,0,0,0,0,0,0,125,180.0
9,권시현,5,7173,64,12.8,19,37,0.513513514,5,20,0.25,11,13,0.846153846,7,13,4.0,16,3.2,2,0,0,0,6,4,0,2,3,2,15,1,0,2018,0,0,0,1,0,0,0,0,0,0,0,0,297,184.0
10,권혁준,16,32925,216,13.5,56,133,0.421052632,23,60,0.383333333,35,43,0.813953488,29,60,5.5625,69,4.3125,29,1,0,0,13,18,0,2,20,13,41,18,3,2019,0,1,0,0,0,0,0,0,0,0,0,0,145,180.0
11,기승호,5,11231,84,16.8,29,52,0.557692308,5,17,0.294117647,11,15,0.733333333,25,29,10.8,6,1.2,3,2,0,0,5,11,0,3,0,0,13,0,0,2007,0,0,0,0,1,0,0,0,0,0,0,0,668,194.0
