선수명,키
"강권희	","188cm, 83kg"
"강병진	","193cm, 96kg"
"강병현	",0
"강상재	","200cm, 105kg"
"강우형	","191cm, 88kg"
"강윤식	","198cm, 115kg"
"강은식	","198cm, 96kg"
"강준구	","185cm, 75kg"
"강창모	","197cm, 97kg"
"강호연	","188cm, 86kg"
"고재호	","178cm, 71kg"
"곽동기	","193cm, 102kg"
"곽정훈	","187cm, 91kg"
"권성진	","180cm, 76kg"
"권시현	","184cm, 79.9kg"
"권용웅	","186cm, 85kg"
"권철현	","196cm, 91kg"
"권혁준	","180cm, 75kg"
"기승호	","194cm, 93kg"
"김강선	","190cm, 82kg"
"김건우	","194cm, 88kg"
"김경록	",0
"김경수	","185cm, 77kg"
"김경원	","198cm, 101kg"
"김광원	",0
"김광철	","184cm, 80kg"
"김국찬	","190cm, 87kg"
"김기만	","192cm, 90kg"
"김기성	","183cm, 75kg"
"김기윤	","180cm, 73kg"
"김낙현	","184cm, 88kg"
"김대환	",0
"김도수	","194.5cm, 90kg"
"김동량	","198cm, 97kg"
"김동민	","199cm, 102kg"
"김동우	","190cm, 88kg"
"김동욱	","194cm, 101kg"
"김동준	",175.2cm
"김동현	",189.8cm
"김동환	",0
"김동희	","186cm, 79kg"
"김두현	","188cm, 85kg"
"김만종	","198cm, 110kg"
"김명진	","177cm, 72kg"
"김명훈	","200cm, 96kg"
"김무성	","184cm, 81.8kg"
"김민구	","191cm, 83kg"
"김민섭	","194cm, 90kg"
"김민수	","197cm, 81kg"
"김민욱	","205cm, 100kg"
"김보현	",0
"김봉수	","199cm, 105kg"
"김상규	","201cm, 92kg"
"김상영	","190cm, 91kg"
"김선형	","187cm, 80kg"
"김성래	","200cm, 98kg"
"김성모	",0
"김성민	","178cm, 72kg"
"김성현	","190cm, 88kg"
"김세중	",0
"김세창	","183cm, 73kg"
"김수찬	","188cm, 80kg"
"김수환	",188.4cm
"김승민	","192cm, 92kg"
"김승원	","202cm, 113kg"
"김승준	","190cm, 85kg"
"김승찬	","183cm, 78kg"
"김승현	","178cm, 76kg"
"김시래	","178cm, 70kg"
"김영수	","177cm, 74kg"
"김영재	","198cm, 98kg"
"김영현	",0
"김영환	","196cm, 95kg"
"김영훈	","190cm, 85kg"
"김용우	",0
"김우겸	","196cm, 100kg"
"김우람	","184cm, 82kg"
"김우재	","196cm, 96kg"
"김윤	","187cm, 82kg"
"김윤태	","180cm, 83kg"
"김일두	",0
"김일중	","197cm, 84kg"
"김재영	","187.1cm, 84kg"
"김재환	",0
"김재훈	","193cm, 105kg"
"김정년	","179cm, 71kg"
"김정윤	","186cm, 78kg"
"김정재	",0
"김종규	","207cm, 98kg"
"김종근	","181cm, 78kg"
"김종범	","190cm, 85kg"
