,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
0,LISICHENG,3.0,00:59:32,19.0,6.0,9.0,18.0,50.0%,0.0,0.0,0.0%,1.0,3.0,33.3%,7.0,16.0,7.0,1.0,0.3,2.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2021.0,경희대학교
1,LISICHENG,14.0,02:47:27,57.0,4.0,24.0,46.0,52.2%,0.0,0.0,0.0%,9.0,18.0,50.0%,14.0,31.0,3.0,6.0,0.4,3.0,3.0,2.0,2.0,21.0,9.0,0.0,0.0,1.0,1.0,0.0,15.0,6.0,0.0,2019.0,경희대학교
2,LISICHENG,1.0,00:00:00,0.0,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,경희대학교
3,LISICHENG,4.0,00:43:51,21.0,5.0,8.0,17.0,47.1%,0.0,0.0,0.0%,5.0,9.0,55.6%,6.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2019.0,경희대학교
4,LISICHENG,3.0,00:49:28,17.0,5.0,7.0,16.0,43.8%,0.0,0.0,0.0%,3.0,5.0,60.0%,5.0,10.0,5.0,2.0,0.7,0.0,1.0,1.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2020.0,경희대학교
5,LISICHENG,3.0,00:57:38,22.0,7.0,10.0,16.0,62.5%,0.0,0.0,0.0%,2.0,4.0,50.0%,4.0,21.0,8.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2021.0,경희대학교
6,강동균,2.0,00:00:00,0.0,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,명지대학교
7,강동훈,12.0,00:09:42,5.0,0.0,0.0,0.0,0.0%,1.0,2.0,50.0%,2.0,2.0,100.0%,0.0,1.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2012.0,단국대학교
8,강명수,2.0,00:00:00,0.0,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,명지대학교
9,강명수,12.0,00:24:02,2.0,0.0,1.0,4.0,25.0%,0.0,6.0,0.0%,0.0,0.0,0.0%,1.0,1.0,0.0,2.0,0.2,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2018.0,명지대학교
10,강명수,4.0,00:10:48,0.0,0.0,0.0,1.0,0.0%,0.0,5.0,0.0%,0.0,0.0,0.0%,0.0,1.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2019.0,명지대학교
11,강보민,3.0,00:06:11,3.0,1.0,0.0,0.0,0.0%,1.0,5.0,20.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,한양대학교
