,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
0,강권희,3.0,00:06:37,2.0,0.0,1.0,1.0,100.0%,0.0,1.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2008.0,동국대학교
1,강권희,1.0,00:34:00,11.0,11.0,2.0,3.0,66.7%,2.0,6.0,33.3%,1.0,2.0,50.0%,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2009.0,동국대학교
2,강권희,3.0,01:21:31,25.0,8.0,5.0,15.0,33.3%,5.0,16.0,31.3%,0.0,0.0,0.0%,1.0,6.0,2.0,2.0,0.7,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,2010.0,동국대학교
3,강병진,4.0,00:54:15,6.0,1.0,3.0,9.0,33.3%,0.0,8.0,0.0%,0.0,1.0,0.0%,2.0,2.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2010.0,건국대학교
4,강병진,4.0,01:28:28,23.0,5.0,5.0,11.0,45.5%,4.0,14.0,28.6%,1.0,6.0,16.7%,8.0,6.0,3.0,2.0,0.5,2.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,2009.0,건국대학교
5,강병진,2.0,00:05:31,2.0,1.0,1.0,2.0,50.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2008.0,건국대학교
6,강병현,4.0,01:00:37,22.0,5.0,8.0,20.0,40.0%,1.0,11.0,9.1%,3.0,4.0,75.0%,2.0,4.0,1.0,2.0,0.5,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,2.0,0.0,2017.0,중앙대학교
7,강병현,16.0,02:08:18,38.0,2.0,13.0,24.0,54.2%,2.0,15.0,13.3%,6.0,14.0,42.9%,2.0,17.0,1.0,2.0,0.1,1.0,1.0,0.0,0.0,7.0,6.0,0.0,1.0,4.0,1.0,1.0,7.0,2.0,1.0,2016.0,중앙대학교
8,강병현,6.0,02:35:16,55.0,9.0,16.0,28.0,57.1%,5.0,11.0,45.5%,8.0,9.0,88.9%,4.0,17.0,3.0,3.0,0.5,4.0,2.0,0.0,0.0,5.0,10.0,0.0,0.0,7.0,0.0,0.0,11.0,0.0,0.0,2004.0,중앙대학교
9,강병현,6.0,03:42:53,95.0,15.0,26.0,44.0,59.1%,6.0,27.0,22.2%,25.0,40.0,62.5%,9.0,28.0,6.0,12.0,2.0,7.0,2.0,0.0,0.0,2.0,14.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,2007.0,중앙대학교
10,강병현,16.0,03:35:20,107.0,6.0,36.0,61.0,59.0%,9.0,26.0,34.6%,8.0,9.0,88.9%,10.0,20.0,1.0,11.0,0.7,10.0,0.0,2.0,2.0,6.0,8.0,0.0,0.0,0.0,19.0,6.0,10.0,3.0,2.0,2017.0,중앙대학교
11,강병현,4.0,00:26:51,6.0,1.0,3.0,7.0,42.9%,0.0,2.0,0.0%,0.0,0.0,0.0%,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2016.0,중앙대학교
12,강병현,3.0,00:06:10,5.0,1.0,1.0,2.0,50.0%,1.0,4.0,25.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,중앙대학교
13,강병현,12.0,04:13:09,110.0,9.0,32.0,67.0,47.8%,10.0,43.0,23.3%,16.0,24.0,66.7%,3.0,28.0,2.0,13.0,1.1,10.0,0.0,0.0,0.0,10.0,8.0,0.0,1.0,1.0,12.0,5.0,11.0,5.0,2.0,2018.0,중앙대학교
14,강병현,7.0,03:59:38,122.0,17.0,34.0,46.0,73.9%,12.0,30.0,40.0%,18.0,21.0,85.7%,10.0,19.0,4.0,9.0,1.3,4.0,0.0,0.0,0.0,6.0,14.0,0.0,0.0,12.0,0.0,0.0,11.0,0.0,0.0,2006.0,중앙대학교
15,강병현,16.0,00:37:42,27.0,1.0,9.0,12.0,75.0%,1.0,3.0,33.3%,6.0,8.0,75.0%,3.0,4.0,0.0,2.0,0.1,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,2015.0,중앙대학교
16,강병현,7.0,03:57:07,97.0,13.0,21.0,43.0,48.8%,12.0,24.0,50.0%,19.0,29.0,65.5%,7.0,15.0,3.0,8.0,1.1,5.0,1.0,0.0,0.0,8.0,6.0,0.0,0.0,6.0,0.0,0.0,15.0,0.0,0.0,2005.0,중앙대학교
17,강병현,3.0,01:55:35,67.0,22.0,21.0,42.0,50.0%,5.0,14.0,35.7%,10.0,16.0,62.5%,6.0,12.0,6.0,6.0,2.0,4.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,6.0,1.0,11.0,1.0,0.0,2018.0,중앙대학교
18,강상재,14.0,03:48:30,118.0,8.0,50.0,85.0,58.8%,2.0,4.0,50.0%,12.0,20.0,60.0%,26.0,40.0,4.0,8.0,0.6,6.0,3.0,0.0,0.0,7.0,15.0,0.0,0.0,5.0,7.0,4.0,13.0,0.0,0.0,2013.0,고려대학교
19,강상재,4.0,01:53:40,53.0,13.0,20.0,37.0,54.1%,3.0,11.0,27.3%,4.0,8.0,50.0%,6.0,17.0,5.0,8.0,2.0,3.0,4.0,1.0,1.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,9.0,0.0,0.0,2016.0,고려대학교
20,강상재,16.0,05:16:33,128.0,8.0,51.0,96.0,53.1%,5.0,20.0,25.0%,11.0,19.0,57.9%,33.0,69.0,6.0,7.0,0.4,16.0,10.0,0.0,0.0,11.0,21.0,0.0,1.0,7.0,6.0,1.0,19.0,0.0,0.0,2014.0,고려대학교
21,강상재,13.0,06:01:46,202.0,15.0,74.0,140.0,52.9%,13.0,33.0,39.4%,15.0,21.0,71.4%,30.0,65.0,7.0,22.0,1.7,15.0,15.0,0.0,0.0,6.0,24.0,0.0,0.0,12.0,10.0,1.0,34.0,2.0,0.0,2016.0,고려대학교
22,강상재,5.0,02:19:33,62.0,12.0,28.0,55.0,50.9%,1.0,7.0,14.3%,3.0,4.0,75.0%,15.0,30.0,9.0,3.0,0.6,3.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,2015.0,고려대학교
23,강상재,5.0,01:15:02,33.0,6.0,12.0,24.0,50.0%,3.0,11.0,27.3%,0.0,0.0,0.0%,10.0,22.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0,9.0,4.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,2014.0,고려대학교
24,강상재,5.0,00:41:44,18.0,3.0,6.0,15.0,40.0%,1.0,2.0,50.0%,3.0,4.0,75.0%,7.0,10.0,3.0,1.0,0.2,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2013.0,고려대학교
25,강상재,15.0,05:41:24,222.0,14.0,89.0,137.0,65.0%,6.0,15.0,40.0%,26.0,37.0,70.3%,31.0,85.0,7.0,6.0,0.4,12.0,2.0,0.0,0.0,9.0,11.0,0.0,0.0,3.0,5.0,3.0,16.0,0.0,0.0,2015.0,고려대학교
26,강우형,4.0,00:34:42,6.0,1.0,3.0,4.0,75.0%,0.0,2.0,0.0%,0.0,0.0,0.0%,3.0,2.0,1.0,2.0,0.5,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2003.0,경희대학교
